Network,Average Marginal Price Without CO2 Tax (ZAR/MWh),Average Marginal Price With CO2 Tax (ZAR/MWh)
n0,543.728116615548,832.887918571152
n1,431.06207321642626,631.6158870098918
n2,321.3124145173994,445.0452621974693
n3,674.549142217989,718.3444166683789
