,StorageUnit,n0,n1,n2,n3
storage_p_sum,NAMAQUALAND battery_2020,,,,8.776979143476638e-12
storage_p_sum,NAMAQUALAND battery_2022,,,,-3.1889157980913296e-11
storage_p_sum,NAMAQUALAND battery_2024,,,,6.195932655828074e-12
storage_p_sum,NEWCASTLE battery_2020,,,,3.7552183584921295e-12
storage_p_sum,NEWCASTLE battery_2022,,,,-4.511946372076636e-12
storage_p_sum,NEWCASTLE battery_2024,,,,4.177991286269389e-12
storage_p_sum,NEWCASTLE battery_2026,,,,8.022027486731531e-12
storage_p_sum,NEWCASTLE battery_2028,,,,-1.7621459846850485e-12
storage_p_sum,NIGEL battery_2020,,,,-1.1669953892123885e-10
storage_p_sum,NIGEL battery_2022,,,,6.17106366007647e-12
storage_p_sum,NIGEL battery_2024,,,,-5.826450433232822e-11
storage_p_sum,NIGEL battery_2026,,,,3.297184747452775e-11
storage_p_sum,NIGEL battery_2028,,,,-7.30615568045323e-12
storage_p_sum,PENINSULA battery_2020,,,,-4.299660650305802e-12
storage_p_sum,PENINSULA battery_2022,,,,-1.8142147149498417e-11
storage_p_sum,PENINSULA battery_2024,,,,-9.288212612263246e-13
storage_p_sum,PENINSULA battery_2026,,,,-3.110470520735189e-12
storage_p_sum,PENINSULA battery_2028,,,,-1.3926637620897964e-12
storage_p_sum,PINETOWN battery_2020,,,,-1.1780798558902461e-11
storage_p_sum,PINETOWN battery_2022,,,,-1.8474111129762605e-12
storage_p_sum,PINETOWN battery_2024,,,,8.071765478234738e-12
storage_p_sum,PINETOWN battery_2026,,,,2.499975487213323e-12
storage_p_sum,PINETOWN battery_2028,,,,2.8717275951330342e-12
storage_p_sum,POLOKWANE battery_2020,,,,-2.6982860390489805e-12
storage_p_sum,POLOKWANE battery_2022,,,,2.504663143554353e-13
storage_p_sum,POLOKWANE battery_2024,,,,1.5831780331154732e-13
storage_p_sum,POLOKWANE battery_2026,,,,2.1671553440683056e-13
storage_p_sum,POLOKWANE battery_2028,,,,-2.6707525080382766e-12
storage_p_sum,PORT ELIZABETH battery_2020,,,,-4.291678123991005e-12
storage_p_sum,PORT ELIZABETH battery_2022,,,,3.979039320256561e-13
storage_p_sum,PORT ELIZABETH battery_2024,,,,5.684341886080801e-13
storage_p_sum,PORT ELIZABETH battery_2026,,,,1.6484591469634324e-12
storage_p_sum,PORT ELIZABETH battery_2028,,,,-2.9842794901924208e-12
storage_p_sum,PRETORIA battery_2020,,,,-1.7859491663330118e-11
storage_p_sum,PRETORIA battery_2022,,,,-2.984279490192421e-13
storage_p_sum,PRETORIA battery_2024,,,,-1.4814816040598089e-12
storage_p_sum,PRETORIA battery_2026,,,,-1.2018830375382095e-11
storage_p_sum,PRETORIA battery_2028,,,,-6.821210263296962e-13
storage_p_sum,RUSTENBURG battery_2020,,,,-9.439560244572931e-12
storage_p_sum,RUSTENBURG battery_2022,,,,-2.6147972675971687e-12
storage_p_sum,RUSTENBURG battery_2024,,,,-2.9247576582847046e-12
storage_p_sum,RUSTENBURG battery_2026,,,,-1.0809131367750524e-12
storage_p_sum,RUSTENBURG battery_2028,,,,2.5863755581667647e-12
storage_p_sum,SOUTHERN CAPE battery_2020,,,,1.0969003483296547e-12
storage_p_sum,SOUTHERN CAPE battery_2022,,,,2.2257751197685142e-12
storage_p_sum,SOUTHERN CAPE battery_2024,,,,6.91788272916199e-12
storage_p_sum,SOUTHERN CAPE battery_2026,,,,-9.656995383903694e-13
storage_p_sum,SOUTHERN CAPE battery_2028,,,,-2.6929569685307797e-12
storage_p_sum,VAAL TRIANGLE battery_2020,,,,8.899547765395255e-12
storage_p_sum,VAAL TRIANGLE battery_2022,,,,1.638511548662791e-11
storage_p_sum,VAAL TRIANGLE battery_2024,,,,6.001115819875082e-12
storage_p_sum,VAAL TRIANGLE battery_2026,,,,4.2867931426826544e-12
storage_p_sum,VAAL TRIANGLE battery_2028,,,,1.2640555269172182e-11
storage_p_sum,WARMBAD battery_2020,,,,1.6888712650597881e-12
storage_p_sum,WARMBAD battery_2022,,,,-8.526512829121202e-14
storage_p_sum,WARMBAD battery_2024,,,,-3.694822225952521e-13
storage_p_sum,WARMBAD battery_2026,,,,5.684341886080802e-14
storage_p_sum,WARMBAD battery_2028,,,,2.8421709430404007e-13
storage_p_sum,WATERBERG battery_2020,,,,1.3745484070751813e-11
storage_p_sum,WATERBERG battery_2022,,,,8.007372542806479e-12
storage_p_sum,WATERBERG battery_2024,,,,3.2224985038043046e-12
storage_p_sum,WATERBERG battery_2026,,,,7.362555010104188e-12
storage_p_sum,WATERBERG battery_2028,,,,6.088400814851956e-12
storage_p_sum,WELKOM battery_2020,,,,1.1652900866465643e-10
storage_p_sum,WELKOM battery_2022,,,,5.5564441936439835e-11
storage_p_sum,WELKOM battery_2024,,,,-1.5660361896152608e-11
storage_p_sum,WELKOM battery_2026,,,,6.184563972055912e-11
storage_p_sum,WELKOM battery_2028,,,,-5.991296347929165e-11
storage_p_sum,WEST COAST battery_2020,,,,2.5579538487363607e-13
storage_p_sum,WEST COAST battery_2022,,,,-2.086153472191654e-11
storage_p_sum,WEST COAST battery_2024,,,,-4.831690603168681e-12
storage_p_sum,WEST COAST battery_2026,,,,-1.9696244635269977e-11
storage_p_sum,WEST COAST battery_2028,,,,-1.2363443602225743e-11
storage_p_sum,WEST COAST battery_2030,,,,-69002.01484410696
storage_p_sum,WESTRAND battery_2020,,,,1.885780420707306e-11
storage_p_sum,WESTRAND battery_2022,,,,-9.09494701772928e-13
storage_p_sum,WESTRAND battery_2024,,,,1.7905676941154525e-12
storage_p_sum,WESTRAND battery_2026,,,,5.4285465012071654e-12
storage_p_sum,WESTRAND battery_2028,,,,1.4779288903810084e-12
storage_p_nom_opt,Drakensberg,1000.0,1000.0,1000.0,1000.0
storage_p_nom_opt,Ingula,1332.0,1332.0,1332.0,1332.0
storage_p_nom_opt,Palmiet,400.0,400.0,400.0,400.0
storage_p_nom_opt,Steenbras,180.0,180.0,180.0,180.0
storage_p_nom_opt,NAMAQUALAND battery_2030,784.0256373324228,,,673.8677430052211
storage_p_nom_opt,WEST COAST battery_2030,,,,501.77299319559756
storage_p_nom_opt,KIMBERLEY battery_2030,,,,928.2089406237192
storage_p_nom_opt,CARLETONVILLE battery_2030,,,,2263.0851931938255
storage_p_nom_opt,EAST LONDON battery_2030,,,,33.19836891741278
storage_p_nom_opt,WARMBAD battery_2030,,,,322.15487621427053
